_id	infinitif	participePasse	participePresent	auxiliaire	formePronominale	present_1	present_2	present_3	present_4	present_5	present_6	imparfait_1	imparfait_2	imparfait_3	imparfait_4	imparfait_5	imparfait_6	passeSimple_1	passeSimple_2	passeSimple_3	passeSimple_4	passeSimple_5	passeSimple_6	futurSimple_1	futurSimple_2	futurSimple_3	futurSimple_4	futurSimple_5	futurSimple_6	passeCompose_1	passeCompose_2	passeCompose_3	passeCompose_4	passeCompose_5	passeCompose_6	plusQueParfait_1	plusQueParfait_2	plusQueParfait_3	plusQueParfait_4	plusQueParfait_5	plusQueParfait_6	passeAnterieur_1	passeAnterieur_2	passeAnterieur_3	passeAnterieur_4	passeAnterieur_5	passeAnterieur_6	futurAnterieur_1	futurAnterieur_2	futurAnterieur_3	futurAnterieur_4	futurAnterieur_5	futurAnterieur_6	subjonctifPresent_1	subjonctifPresent_2	subjonctifPresent_3	subjonctifPresent_4	subjonctifPresent_5	subjonctifPresent_6	subjonctifImparfait_1	subjonctifImparfait_2	subjonctifImparfait_3	subjonctifImparfait_4	subjonctifImparfait_5	subjonctifImparfait_6	subjonctifPasse_1	subjonctifPasse_2	subjonctifPasse_3	subjonctifPasse_4	subjonctifPasse_5	subjonctifPasse_6	subjonctifPlusQueParfait_1	subjonctifPlusQueParfait_2	subjonctifPlusQueParfait_3	subjonctifPlusQueParfait_4	subjonctifPlusQueParfait_5	subjonctifPlusQueParfait_6	conditionnelPresent_1	conditionnelPresent_2	conditionnelPresent_3	conditionnelPresent_4	conditionnelPresent_5	conditionnelPresent_6	conditionnelPasse_1	conditionnelPasse_2	conditionnelPasse_3	conditionnelPasse_4	conditionnelPasse_5	conditionnelPasse_6	conditionnelPasseII_1	conditionnelPasseII_2	conditionnelPasseII_3	conditionnelPasseII_4	conditionnelPasseII_5	conditionnelPasseII_6	imperatifPasse_1	imperatifPasse_2	imperatifPasse_3	imperatifPasse_4	imperatifPasse_5	imperatifPasse_6
68	envoyer	envoyé	envoyant	avoir	s'envoyer	envoie	envoies	envoie	envoyons	envoyez	envoient	envoyais	envoyais	envoyait	envoyions	envoyiez	envoyaient	envoyai	envoyas	envoya	envoyâmes	envoyâtes	envoyèrent	enverrai	enverras	enverra	enverrons	enverrez	enverront	ai envoyé	as envoyé	a envoyé	avons envoyé	avez envoyé	ont envoyé	avais envoyé	avais envoyé	avait envoyé	avions envoyé	aviez envoyé	avaient envoyé	eus envoyé	eus envoyé	eut envoyé	eûmes envoyé	eûtes envoyé	eurent envoyé	aurai envoyé	auras envoyé	aura envoyé	aurons envoyé	aurez envoyé	auront envoyé	envoie	envoies	envoie	envoyions	envoyiez	envoient	envoyasse	envoyasses	envoyât	envoyassions	envoyassiez	envoyassent	aie envoyé	aies envoyé	ait envoyé	ayons envoyé	ayez envoyé	aient envoyé	eusse envoyé	eusses envoyé	eût envoyé	eussions envoyé	eussiez envoyé	eussent envoyé	enverrais	enverrais	enverrait	enverrions	enverriez	enverraient	aurais envoyé	aurais envoyé	aurait envoyé	aurions envoyé	auriez envoyé	auraient envoyé	eusse envoyé	eusses envoyé	eût envoyé	eussions envoyé	eussiez envoyé	eussent envoyé		aie envoyé !		ayons envoyé !	ayez envoyé !	
69	espérer	espéré	espérant	avoir	s'espérer	espère	espères	espère	espérons	espérez	espèrent	espérais	espérais	espérait	espérions	espériez	espéraient	espérai	espéras	espéra	espérâmes	espérâtes	espérèrent	espérerai	espéreras	espérera	espérerons	espérerez	espéreront	ai espéré	as espéré	a espéré	avons espéré	avez espéré	ont espéré	avais espéré	avais espéré	avait espéré	avions espéré	aviez espéré	avaient espéré	eus espéré	eus espéré	eut espéré	eûmes espéré	eûtes espéré	eurent espéré	aurai espéré	auras espéré	aura espéré	aurons espéré	aurez espéré	auront espéré	espère	espères	espère	espérions	espériez	espèrent	espérasse	espérasses	espérât	espérassions	espérassiez	espérassent	aie espéré	aies espéré	ait espéré	ayons espéré	ayez espéré	aient espéré	eusse espéré	eusses espéré	eût espéré	eussions espéré	eussiez espéré	eussent espéré	espérerais	espérerais	espérerait	espérerions	espéreriez	espéreraient	aurais espéré	aurais espéré	aurait espéré	aurions espéré	auriez espéré	auraient espéré	eusse espéré	eusses espéré	eût espéré	eussions espéré	eussiez espéré	eussent espéré		aie espéré !		ayons espéré !	ayez espéré !	
70	essayer	essayé	essayant	avoir	s'essayer	essaie, essaye	essaies, essayes	essaie, essaye	essayons	essayez	essaient, essayent	essayais	essayais	essayait	essayions	essayiez	essayaient	essayai	essayas	essaya	essayâmes	essayâtes	essayèrent	essaierai, essayerai	essaieras, essayeras	essaiera, essayera	essaierons, essayerons	essaierez, essayerez	essaieront, essayeront	ai essayé	as essayé	a essayé	avons essayé	avez essayé	ont essayé	avais essayé	avais essayé	avait essayé	avions essayé	aviez essayé	avaient essayé	eus essayé	eus essayé	eut essayé	eûmes essayé	eûtes essayé	eurent essayé	aurai essayé	auras essayé	aura essayé	aurons essayé	aurez essayé	auront essayé	essaie, essaye	essaies, essayes	essaie, essaye	essayions	essayiez	essaient, essayent	essayasse	essayasses	essayât	essayassions	essayassiez	essayassent	aie essayé	aies essayé	ait essayé	ayons essayé	ayez essayé	aient essayé	eusse essayé	eusses essayé	eût essayé	eussions essayé	eussiez essayé	eussent essayé	essaierais, essayerais	essaierais, essayerais	essaierait, essayerait	essaierions, essayerions	essaieriez, essayeriez	essaieraient, essayeraient	aurais essayé	aurais essayé	aurait essayé	aurions essayé	auriez essayé	auraient essayé	eusse essayé	eusses essayé	eût essayé	eussions essayé	eussiez essayé	eussent essayé		aie essayé !		ayons essayé !	ayez essayé !	
71	éteindre	éteint	éteignant	avoir	s'éteindre	éteins	éteins	éteint	éteignons	éteignez	éteignent	éteignais	éteignais	éteignait	éteignions	éteigniez	éteignaient	éteignis	éteignis	éteignit	éteignîmes	éteignîtes	éteignirent	éteindrai	éteindras	éteindra	éteindrons	éteindrez	éteindront	ai éteint	as éteint	a éteint	avons éteint	avez éteint	ont éteint	avais éteint	avais éteint	avait éteint	avions éteint	aviez éteint	avaient éteint	eus éteint	eus éteint	eut éteint	eûmes éteint	eûtes éteint	eurent éteint	aurai éteint	auras éteint	aura éteint	aurons éteint	aurez éteint	auront éteint	éteigne	éteignes	éteigne	éteignions	éteigniez	éteignent	éteignisse	éteignisses	éteignît	éteignissions	éteignissiez	éteignissent	aie éteint	aies éteint	ait éteint	ayons éteint	ayez éteint	aient éteint	eusse éteint	eusses éteint	eût éteint	eussions éteint	eussiez éteint	eussent éteint	éteindrais	éteindrais	éteindrait	éteindrions	éteindriez	éteindraient	aurais éteint	aurais éteint	aurait éteint	aurions éteint	auriez éteint	auraient éteint	eusse éteint	eusses éteint	eût éteint	eussions éteint	eussiez éteint	eussent éteint		aie éteint !		ayons éteint !	ayez éteint !	
72	être	été	étant	avoir		suis	es	est	sommes	êtes	sont	étais	étais	était	étions	étiez	étaient	fus	fus	fut	fûmes	fûtes	furent	serai	seras	sera	serons	serez	seront	ai été	as été	a été	avons été	avez été	ont été	avais été	avais été	avait été	avions été	aviez été	avaient été	eus été	eus été	eut été	eûmes été	eûtes été	eurent été	aurai été	auras été	aura été	aurons été	aurez été	auront été	sois	sois	soit	soyons	soyez	soient	fusse	fusses	fût	fussions	fussiez	fussent	aie été	aies été	ait été	ayons été	ayez été	aient été	eusse été	eusses été	eût été	eussions été	eussiez été	eussent été	serais	serais	serait	serions	seriez	seraient	aurais été	aurais été	aurait été	aurions été	auriez été	auraient été	eusse été	eusses été	eût été	eussions été	eussiez été	eussent été		aie été !		ayons été !	ayez été !	
73	étudier	étudié	étudiant	avoir		étudie	étudies	étudie	étudions	étudiez	étudient	étudiais	étudiais	étudiait	étudiions	étudiiez	étudiaient	étudiai	étudias	étudia	étudiâmes	étudiâtes	étudièrent	étudierai	étudieras	étudiera	étudierons	étudierez	étudieront	ai étudié	as étudié	a étudié	avons étudié	avez étudié	ont étudié	avais étudié	avais étudié	avait étudié	avions étudié	aviez étudié	avaient étudié	eus étudié	eus étudié	eut étudié	eûmes étudié	eûtes étudié	eurent étudié	aurai étudié	auras étudié	aura étudié	aurons étudié	aurez étudié	auront étudié	étudie	étudies	étudie	étudiions	étudiiez	étudient	étudiasse	étudiasses	étudiât	étudiassions	étudiassiez	étudiassent	aie étudié	aies étudié	ait étudié	ayons étudié	ayez étudié	aient étudié	eusse étudié	eusses étudié	eût étudié	eussions étudié	eussiez étudié	eussent étudié	étudierais	étudierais	étudierait	étudierions	étudieriez	étudieraient	aurais étudié	aurais étudié	aurait étudié	aurions étudié	auriez étudié	auraient étudié	eusse étudié	eusses étudié	eût étudié	eussions étudié	eussiez étudié	eussent étudié		aie étudié !		ayons étudié !	ayez étudié !	
74	expliquer	expliqué	expliquant	avoir	s'expliquer	explique	expliques	explique	expliquons	expliquez	expliquent	expliquais	expliquais	expliquait	expliquions	expliquiez	expliquaient	expliquai	expliquas	expliqua	expliquâmes	expliquâtes	expliquèrent	expliquerai	expliqueras	expliquera	expliquerons	expliquerez	expliqueront	ai expliqué	as expliqué	a expliqué	avons expliqué	avez expliqué	ont expliqué	avais expliqué	avais expliqué	avait expliqué	avions expliqué	aviez expliqué	avaient expliqué	eus expliqué	eus expliqué	eut expliqué	eûmes expliqué	eûtes expliqué	eurent expliqué	aurai expliqué	auras expliqué	aura expliqué	aurons expliqué	aurez expliqué	auront expliqué	explique	expliques	explique	expliquions	expliquiez	expliquent	expliquasse	expliquasses	expliquât	expliquassions	expliquassiez	expliquassent	aie expliqué	aies expliqué	ait expliqué	ayons expliqué	ayez expliqué	aient expliqué	eusse expliqué	eusses expliqué	eût expliqué	eussions expliqué	eussiez expliqué	eussent expliqué	expliquerais	expliquerais	expliquerait	expliquerions	expliqueriez	expliqueraient	aurais expliqué	aurais expliqué	aurait expliqué	aurions expliqué	auriez expliqué	auraient expliqué	eusse expliqué	eusses expliqué	eût expliqué	eussions expliqué	eussiez expliqué	eussent expliqué		aie expliqué !		ayons expliqué !	ayez expliqué !	
75	faire	fait	faisant	avoir	se faire	fais	fais	fait	faisons	faites	font	faisais	faisais	faisait	faisions	faisiez	faisaient	fis	fis	fit	fîmes	fîtes	firent	ferai	feras	fera	ferons	ferez	feront	ai fait	as fait	a fait	avons fait	avez fait	ont fait	avais fait	avais fait	avait fait	avions fait	aviez fait	avaient fait	eus fait	eus fait	eut fait	eûmes fait	eûtes fait	eurent fait	aurai fait	auras fait	aura fait	aurons fait	aurez fait	auront fait	fasse	fasses	fasse	fassions	fassiez	fassent	fisse	fisses	fît	fissions	fissiez	fissent	aie fait	aies fait	ait fait	ayons fait	ayez fait	aient fait	eusse fait	eusses fait	eût fait	eussions fait	eussiez fait	eussent fait	ferais	ferais	ferait	ferions	feriez	feraient	aurais fait	aurais fait	aurait fait	aurions fait	auriez fait	auraient fait	eusse fait	eusses fait	eût fait	eussions fait	eussiez fait	eussent fait		aie fait !		ayons fait !	ayez fait !	
76	falloir	fallu		avoir				faut						fallait						fallut						faudra						a fallu						avait fallu						eut fallu						aura fallu						faille						fallût						ait fallu						eût fallu						faudrait						aurait fallu						eût fallu									
77	fermer	fermé	fermant	avoir	se fermer	ferme	fermes	ferme	fermons	fermez	ferment	fermais	fermais	fermait	fermions	fermiez	fermaient	fermai	fermas	ferma	fermâmes	fermâtes	fermèrent	fermerai	fermeras	fermera	fermerons	fermerez	fermeront	ai fermé	as fermé	a fermé	avons fermé	avez fermé	ont fermé	avais fermé	avais fermé	avait fermé	avions fermé	aviez fermé	avaient fermé	eus fermé	eus fermé	eut fermé	eûmes fermé	eûtes fermé	eurent fermé	aurai fermé	auras fermé	aura fermé	aurons fermé	aurez fermé	auront fermé	ferme	fermes	ferme	fermions	fermiez	ferment	fermasse	fermasses	fermât	fermassions	fermassiez	fermassent	aie fermé	aies fermé	ait fermé	ayons fermé	ayez fermé	aient fermé	eusse fermé	eusses fermé	eût fermé	eussions fermé	eussiez fermé	eussent fermé	fermerais	fermerais	fermerait	fermerions	fermeriez	fermeraient	aurais fermé	aurais fermé	aurait fermé	aurions fermé	auriez fermé	auraient fermé	eusse fermé	eusses fermé	eût fermé	eussions fermé	eussiez fermé	eussent fermé		aie fermé !		ayons fermé !	ayez fermé !	
78	fêter	fêté	fêtant	avoir		fête	fêtes	fête	fêtons	fêtez	fêtent	fêtais	fêtais	fêtait	fêtions	fêtiez	fêtaient	fêtai	fêtas	fêta	fêtâmes	fêtâtes	fêtèrent	fêterai	fêteras	fêtera	fêterons	fêterez	fêteront	ai fêté	as fêté	a fêté	avons fêté	avez fêté	ont fêté	avais fêté	avais fêté	avait fêté	avions fêté	aviez fêté	avaient fêté	eus fêté	eus fêté	eut fêté	eûmes fêté	eûtes fêté	eurent fêté	aurai fêté	auras fêté	aura fêté	aurons fêté	aurez fêté	auront fêté	fête	fêtes	fête	fêtions	fêtiez	fêtent							aie fêté	aies fêté	ait fêté	ayons fêté	ayez fêté	aient fêté	eusse fêté	eusses fêté	eût fêté	eussions fêté	eussiez fêté	eussent fêté	fêterais	fêterais	fêterait	fêterions	fêteriez	fêteraient	aurais fêté	aurais fêté	aurait fêté	aurions fêté	auriez fêté	auraient fêté	eusse fêté	eusses fêté	eût fêté	eussions fêté	eussiez fêté	eussent fêté						
79	finir	fini	finissant	avoir	se finir	finis	finis	finit	finissons	finissez	finissent	finissais	finissais	finissait	finissions	finissiez	finissaient	finis	finis	finit	finîmes	finîtes	finirent	finirai	finiras	finira	finirons	finirez	finiront	ai fini	as fini	a fini	avons fini	avez fini	ont fini	avais fini	avais fini	avait fini	avions fini	aviez fini	avaient fini	eus fini	eus fini	eut fini	eûmes fini	eûtes fini	eurent fini	aurai fini	auras fini	aura fini	aurons fini	aurez fini	auront fini	finisse	finisses	finisse	finissions	finissiez	finissent	finisse	finisses	finît	finissions	finissiez	finissent	aie fini	aies fini	ait fini	ayons fini	ayez fini	aient fini	eusse fini	eusses fini	eût fini	eussions fini	eussiez fini	eussent fini	finirais	finirais	finirait	finirions	finiriez	finiraient	aurais fini	aurais fini	aurait fini	aurions fini	auriez fini	auraient fini	eusse fini	eusses fini	eût fini	eussions fini	eussiez fini	eussent fini		aie fini !		ayons fini !	ayez fini !	
80	fumer	fumé	fumant	avoir		fume	fumes	fume	fumons	fumez	fument	fumais	fumais	fumait	fumions	fumiez	fumaient	fumai	fumas	fuma	fumâmes	fumâtes	fumèrent	fumerai	fumeras	fumera	fumerons	fumerez	fumeront	ai fumé	as fumé	a fumé	avons fumé	avez fumé	ont fumé	avais fumé	avais fumé	avait fumé	avions fumé	aviez fumé	avaient fumé	eus fumé	eus fumé	eut fumé	eûmes fumé	eûtes fumé	eurent fumé	aurai fumé	auras fumé	aura fumé	aurons fumé	aurez fumé	auront fumé	fume	fumes	fume	fumions	fumiez	fument	fumasse	fumasses	fumât	fumassions	fumassiez	fumassent	aie fumé	aies fumé	ait fumé	ayons fumé	ayez fumé	aient fumé	eusse fumé	eusses fumé	eût fumé	eussions fumé	eussiez fumé	eussent fumé	fumerais	fumerais	fumerait	fumerions	fumeriez	fumeraient	aurais fumé	aurais fumé	aurait fumé	aurions fumé	auriez fumé	auraient fumé	eusse fumé	eusses fumé	eût fumé	eussions fumé	eussiez fumé	eussent fumé		aie fumé !		ayons fumé !	ayez fumé !	
81	gagner	gagné	gagnant	avoir		gagne	gagnes	gagne	gagnons	gagnez	gagnent	gagnais	gagnais	gagnait	gagnions	gagniez	gagnaient	gagnai	gagnas	gagna	gagnâmes	gagnâtes	gagnèrent	gagnerai	gagneras	gagnera	gagnerons	gagnerez	gagneront	ai gagné	as gagné	a gagné	avons gagné	avez gagné	ont gagné	avais gagné	avais gagné	avait gagné	avions gagné	aviez gagné	avaient gagné	eus gagné	eus gagné	eut gagné	eûmes gagné	eûtes gagné	eurent gagné	aurai gagné	auras gagné	aura gagné	aurons gagné	aurez gagné	auront gagné	gagne	gagnes	gagne	gagnions	gagniez	gagnent	gagnasse	gagnasses	gagnât	gagnassions	gagnassiez	gagnassent	aie gagné	aies gagné	ait gagné	ayons gagné	ayez gagné	aient gagné	eusse gagné	eusses gagné	eût gagné	eussions gagné	eussiez gagné	eussent gagné	gagnerais	gagnerais	gagnerait	gagnerions	gagneriez	gagneraient	aurais gagné	aurais gagné	aurait gagné	aurions gagné	auriez gagné	auraient gagné	eusse gagné	eusses gagné	eût gagné	eussions gagné	eussiez gagné	eussent gagné		aie gagné !		ayons gagné !	ayez gagné !	
82	garder	gardé	gardant	avoir	se garder	garde	gardes	garde	gardons	gardez	gardent	gardais	gardais	gardait	gardions	gardiez	gardaient	gardai	gardas	garda	gardâmes	gardâtes	gardèrent	garderai	garderas	gardera	garderons	garderez	garderont	ai gardé	as gardé	a gardé	avons gardé	avez gardé	ont gardé	avais gardé	avais gardé	avait gardé	avions gardé	aviez gardé	avaient gardé	eus gardé	eus gardé	eut gardé	eûmes gardé	eûtes gardé	eurent gardé	aurai gardé	auras gardé	aura gardé	aurons gardé	aurez gardé	auront gardé	garde	gardes	garde	gardions	gardiez	gardent	gardasse	gardasses	gardât	gardassions	gardassiez	gardassent	aie gardé	aies gardé	ait gardé	ayons gardé	ayez gardé	aient gardé	eusse gardé	eusses gardé	eût gardé	eussions gardé	eussiez gardé	eussent gardé	garderais	garderais	garderait	garderions	garderiez	garderaient	aurais gardé	aurais gardé	aurait gardé	aurions gardé	auriez gardé	auraient gardé	eusse gardé	eusses gardé	eût gardé	eussions gardé	eussiez gardé	eussent gardé		aie gardé !		ayons gardé !	ayez gardé !	
83	goûter	goûté	goûtant	avoir		goûte	goûtes	goûte	goûtons	goûtez	goûtent	goûtais	goûtais	goûtait	goûtions	goûtiez	goûtaient	goûtai	goûtas	goûta	goûtâmes	goûtâtes	goûtèrent	goûterai	goûteras	goûtera	goûterons	goûterez	goûteront	ai goûté	as goûté	a goûté	avons goûté	avez goûté	ont goûté	avais goûté	avais goûté	avait goûté	avions goûté	aviez goûté	avaient goûté	eus goûté	eus goûté	eut goûté	eûmes goûté	eûtes goûté	eurent goûté	aurai goûté	auras goûté	aura goûté	aurons goûté	aurez goûté	auront goûté	goûte	goûtes	goûte	goûtions	goûtiez	goûtent							aie goûté	aies goûté	ait goûté	ayons goûté	ayez goûté	aient goûté	eusse goûté	eusses goûté	eût goûté	eussions goûté	eussiez goûté	eussent goûté	goûterais	goûterais	goûterait	goûterions	goûteriez	goûteraient	aurais goûté	aurais goûté	aurait goûté	aurions goûté	auriez goûté	auraient goûté	eusse goûté	eusses goûté	eût goûté	eussions goûté	eussiez goûté	eussent goûté						
84	grandir	grandi	grandissant	avoir		grandis	grandis	grandit	grandissons	grandissez	grandissent	grandissais	grandissais	grandissait	grandissions	grandissiez	grandissaient	grandis	grandis	grandit	grandîmes	grandîtes	grandirent	grandirai	grandiras	grandira	grandirons	grandirez	grandiront	ai grandi	as grandi	a grandi	avons grandi	avez grandi	ont grandi	avais grandi	avais grandi	avait grandi	avions grandi	aviez grandi	avaient grandi	eus grandi	eus grandi	eut grandi	eûmes grandi	eûtes grandi	eurent grandi	aurai grandi	auras grandi	aura grandi	aurons grandi	aurez grandi	auront grandi	grandisse	grandisses	grandisse	grandissions	grandissiez	grandissent	grandisse	grandisses	grandît	grandissions	grandissiez	grandissent	aie grandi	aies grandi	ait grandi	ayons grandi	ayez grandi	aient grandi	eusse grandi	eusses grandi	eût grandi	eussions grandi	eussiez grandi	eussent grandi	grandirais	grandirais	grandirait	grandirions	grandiriez	grandiraient	aurais grandi	aurais grandi	aurait grandi	aurions grandi	auriez grandi	auraient grandi	eusse grandi	eusses grandi	eût grandi	eussions grandi	eussiez grandi	eussent grandi		aie grandi !		ayons grandi !	ayez grandi !	
